Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3769994523,1,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-06-19,02:41:56,13173.36,6:21:29,64.71
ID1855962424,0,6,1,-37.7874421,144.9804091,-37.8135191,144.9655206,3602.0,2018-06-04,04:52:13,915.12,5:07:28,9.67
ID1554280805,0,8,2,-37.8158343,145.04645,-37.81033920000001,144.9375626,9961.0,2018-04-19,06:02:24,2792.699999999998,6:48:56,5.5
ID3272366546,1,2,3,-37.8126336,144.93746399999998,-37.8239717,145.0017417,6873.0,2018-02-20,14:26:18,1695.7799999999993,14:54:33,16.65
ID3147979229,1,4,5,-37.8049059,144.99376759999998,-37.8087408,144.9348385,7526.0,2018-04-11,23:42:10,1888.3200000000006,0:13:38,24.03
ID5156450262,2,2,6,-37.8136209,144.9441466,-37.7908183,144.9857929,5440.0,2018-02-03,14:50:45,1362.42,15:13:27,130.01
ID1570623237,0,8,4,-37.807202000000004,145.0266373,-37.8022213,144.9899001,3591.0,2018-01-13,02:13:46,985.74,2:30:11,17.12
ID3828867057,1,7,4,-37.8618349,144.90571599999998,-37.8048007,144.99854530000002,11417.0,2018-06-09,14:48:21,3685.9799999999977,15:49:46,27.35
ID3288730009,1,3,7,-37.815650899999994,144.9741108,-37.8618349,144.90571599999998,8366.0,2018-02-24,03:02:56,2875.92,3:50:51,30.34
ID5250120456,2,4,5,-37.812198200000005,145.00032990000003,-37.8040739,144.9175502,7693.0,2018-07-26,06:37:22,1977.42,7:10:19,157.15
ID1701609254,0,8,2,-37.8158343,145.04645,-37.8095656,144.93596000000002,10104.0,2018-05-26,10:10:19,2825.159999999999,10:57:24,11.18
ID1170513297,0,2,5,-37.8140484,144.9379666,-37.8065033,144.93221269999998,1517.0,2018-02-22,08:16:15,368.76,8:22:23,4.1
ID3214215557,1,9,2,-38.1109156,144.65417250000002,-37.8144221,144.9338083,43781.0,2018-02-06,09:00:37,10561.379999999996,11:56:38,43.93
ID3843267408,1,1,2,-37.81733079999999,144.9688157,-37.814714200000004,144.94490159999998,2880.0,2018-06-08,14:03:18,691.14,14:14:49,13.38
ID3135066072,1,6,7,-37.7907967,144.985865,-37.8618349,144.90571599999998,11711.0,2018-06-25,07:47:49,3866.9400000000014,8:52:15,19.68
ID5843877922,2,8,1,-37.8158343,145.04645,-37.800659499999995,144.9504862,8882.0,2018-03-22,19:48:49,2479.0200000000004,20:30:08,204.16
ID3768569512,1,1,9,-37.8130564,144.95136010000002,-38.1109156,144.65417250000002,42497.0,2018-05-07,00:16:18,10275.9,3:07:33,55.55
ID1524698021,0,5,2,-37.805179200000005,144.94097299999999,-37.814336700000005,144.9359099,1905.0,2018-04-15,09:29:08,466.8,9:36:54,9.11
ID3263871704,1,4,3,-37.8013076,144.98933689999998,-37.8198,144.9810292,2516.0,2018-06-20,11:27:36,694.2,11:39:10,6.76
ID1486201546,0,9,8,-38.1109156,144.65417250000002,-37.807202000000004,145.0266373,49777.0,2018-04-17,05:36:15,12099.660000000005,8:57:54,21.59
ID3335603978,1,5,8,-37.7972646,144.93133490000002,-37.8158343,145.04645,11365.0,2018-06-21,23:16:05,3144.6600000000008,0:08:29,27.24
ID1526573439,0,7,2,-37.8618349,144.90571599999998,-37.8128777,144.93919169999998,10236.0,2018-06-15,18:38:12,3365.3999999999987,19:34:17,9.38
ID3909526162,1,4,2,-37.801098100000004,144.99518590000002,-37.8139739,144.9377565,6237.0,2018-06-20,03:09:34,1555.019999999999,3:35:29,23.92
ID3336540622,1,9,1,-38.1109156,144.65417250000002,-37.8235021,144.9563142,42829.0,2018-04-27,19:58:03,10381.439999999997,22:51:04,48.29
ID3735773910,1,4,8,-37.8049059,144.99376759999998,-37.807202000000004,145.0266373,3286.0,2018-04-23,12:18:18,855.3,12:32:33,16.12
ID5400769526,2,9,2,-38.1109156,144.65417250000002,-37.82103729999999,144.94760060000002,41880.0,2018-06-11,11:10:52,10067.219999999996,13:58:39,748.54
ID5579974667,2,9,1,-38.1109156,144.65417250000002,-37.8117446,144.9671826,43871.0,2018-06-07,16:03:26,10543.68,18:59:09,791.67
ID1743548359,0,1,3,-37.8090115,144.9720216,-37.824225399999996,144.9840358,2536.0,2018-05-09,00:26:02,622.2600000000003,0:36:24,12.18
ID3759430646,1,9,6,-38.1109156,144.65417250000002,-37.7874421,144.9804091,47035.0,2018-02-28,10:41:27,11413.020000000008,13:51:40,45.34
ID1966758200,0,4,2,-37.8022891,145.0027802,-37.8161206,144.9287575,8306.0,2018-02-25,01:27:14,2136.420000000001,2:02:50,17.05
ID3278944414,1,3,4,-37.816087599999996,144.9722284,-37.8131361,145.01144680000002,4094.0,2018-01-06,07:46:42,1082.28,8:04:44,14.57
ID3232884584,1,9,2,-38.1109156,144.65417250000002,-37.81497279999999,144.9449286,41924.0,2018-07-18,14:26:59,10091.94,17:15:10,47.52
ID1932561585,0,3,7,-37.8231522,145.0015584,-37.8618349,144.90571599999998,10561.0,2018-02-07,11:15:15,3343.02,12:10:58,6.49
ID5642536464,2,2,5,-37.8130244,144.9353036,-37.809020700000005,144.92892759999998,1870.0,2018-03-03,17:52:05,473.22,17:59:58,65.56
ID1194850833,0,4,2,-37.7992307,145.0054592,-37.814917,144.94524730000003,6381.0,2018-06-28,00:12:01,1693.5600000000006,0:40:14,12.64
ID3620602591,1,5,7,-37.8050924,144.93696740000001,-37.8618349,144.90571599999998,10730.0,2018-07-09,02:17:47,3487.32,3:15:54,30.13
ID1502494738,0,2,7,-37.8250284,144.94528449999999,-37.8618349,144.90571599999998,9030.0,2018-01-05,03:13:16,3161.16,4:05:57,13.59
ID3529517883,1,2,3,-37.814753,144.94183940000002,-37.823704299999996,144.9825536,4397.0,2018-05-05,11:51:13,1116.0,12:09:49,11.62
ID1517956239,0,2,4,-37.8225249,144.9353059,-37.8013076,144.98933689999998,6359.0,2018-01-08,18:27:01,1710.1800000000005,18:55:31,7.79
ID1784304124,0,3,4,-37.8210266,144.9987388,-37.8030914,145.008892,2925.0,2018-01-02,11:58:04,827.28,12:11:51,5.65
ID1138412446,0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-01-19,18:21:16,13204.979999999996,22:01:20,19.6
ID5716043906,2,1,9,-37.8047964,144.9657967,-38.1109156,144.65417250000002,44336.0,2018-02-12,14:27:19,10736.46,17:26:15,808.41
ID5840975421,2,5,6,-37.809020700000005,144.92892759999998,-37.7874421,144.9804091,6646.0,2018-03-21,20:30:56,1706.2800000000007,20:59:22,148.54
ID1723003217,0,4,7,-37.809295,145.0017436,-37.8618349,144.90571599999998,11327.0,2018-02-25,01:17:54,3661.8,2:18:55,18.46
ID3620079111,1,6,1,-37.7907967,144.985865,-37.805336100000005,144.97324430000003,2558.0,2018-06-18,11:23:11,724.2599999999999,11:35:15,8.88
ID1462275582,0,8,3,-37.8158343,145.04645,-37.8202619,144.9895993,5920.0,2018-04-12,22:44:47,1764.5999999999995,23:14:11,11.61
ID3904814931,1,5,6,-37.7940869,144.947129,-37.7874325,144.9803767,5190.0,2018-01-14,10:04:14,1301.16,10:25:55,14.76
ID3145242377,1,9,8,-38.1109156,144.65417250000002,-37.807202000000004,145.0266373,49777.0,2018-05-14,16:18:36,12099.660000000005,19:40:15,53.56
ID1237351509,0,2,5,-37.822784000000006,144.9365094,-37.79883579999999,144.9358923,3326.0,2018-02-16,11:03:42,804.9599999999998,11:17:06,5.32
ID5757174103,2,4,5,-37.8075181,144.99180880000003,-37.7998283,144.9354144,7153.0,2018-01-01,14:59:29,1801.2600000000002,15:29:30,155.43
